 Order ID ,customer id,CUSTOMER__Name,e-mail Address,Phone No.,CITY/town,Age (yrs),Order Date ,ship_date,Product Cat.,product-name,Qty.,Unit Price(KES/USD/EUR),discount %,curr, TOTAL_amount ,Payment Method ,Order STATUS,review rating(1-5),Marketing_Source?, Full_Address / Street-ZIP 
ORD-103664,CUST-3131, Quinn Okafor ,quinn.okafor577@example.com,+254784935782,Kisumu ,39,not_a_date,2023-08-27,home and kitchen,Home Item 13,6,17495.99,20,EUR,83980.75,Bank Transfer,returned,2,Google Ads,"1522, Uhuru Highway, Kisumu County, P.O Box , kenya"
ORD-103537,CUST-2452, Grace Otieno ,grace.otieno92@example.com,+254764495483,Kisumu,47,21/01/2023,05/02/2023,groceries,Groceries Item 43,3,6884.09,20,KES,16521.82,CARD,PENDING,4,Instagram,KISUMU - 1395 KOINANGE STREET - FLOOR A-350 - 40100 - KE
ORD-104571,CUST-1098,Omar Garcia,omar.garcia116@example.com,+254781326270,Dar es Salaam,66,02-01-2023,02-14-2023,HOME,Home Item 86,7,7690.51,10,USD,48450.21,Cash,Pending,4,Referral,Unit B-625; 5580-Mbagathi Way; Dar es Salaam; Uasin Gishu; postal code 11101; kenya
ORD-100845,CUST-2307,Fatima Khan,fatima.khan192@example.com,+254762559164,Mombasa,74,2025-04-07,2025-04-20,Electrnics,Electronics Item 107,5,3615.22,30,EUR,12653.27,Card,PENDING,2,Referral,Mombasa - 7358 Haile Selassie Ave - Unit B-392 - 80100 - kenya
ORD-104758,CUST-2603,Amina Kamau,amina.kamau613@example.com,+254766445651,kisumu,50,04-28-2023,05-07-2023,Beauti,Beauty Item 35,6,4005.93,15,USD,20430.24,CARD,shipped,2,,Apt D-53; 9920-Haile Selassie Ave; Kisumu; Kiambu; postal code 40123; K.E.
ORD-104539,CUST-2604,omar garcia,omar.garcia658@example.com,+254745949298,Dar es Salaam,65,16/11/2023,24/11/2023,Fashion,Fashion Item 46,7,11020.26,15,KES,65570.55,Debit Card,Return,3,Instagram,7463 Tom Mboya Street Flr C-978 Dar es Salaam  Kenya
ORD-103945,CUST-1665,Samuel Lopez,samuel.lopez537@example.com,+254773424089,mombasa,55,15/07/2023,21/07/2023,Books,Books Item 108,8,12068.19,10,USD,86890.97,Credit card,Returned,N/A,Facebook,"3619 Koinange Street, Apt D-517, Mombasa, Kiambu, 80101, Kenya"
ORD-100957,CUST-1133,James Lopez,james.lopez671@example.com,+254767984620,Machakos ,40,25/03/2025,12/04/2025,groceries,Groceries Item 20,6,15101.12,10,KES,81546.05,BANK TRANSFER,Return,1,Organic,Suite B-48; 213-Ngong Road; Machakos; Kisumu; postal code 90100; KE
ORD-101994,CUST-2811,Brian Mensah,brian.mensah416@example.com,+254772021096,Eldoret,73,02-24-2024,03-10-2024,Electronics,Electronics Item 79,4,12509.04,5,EUR,47534.35,Mpesa,Return,3,Referral,"8532, Kenyatta Road, Eldoret County, P.O Box 30120, Kenya"
ORD-102076,CUST-3081, Diana Garcia ,diana.garcia599@example.com,+254779057683,Mombasa,72,02-07-2024,02-12-2024,Home & Kitchen,Home Item 93,2,17382.32,5,EUR,33026.41,Credit card,Canceled,N/A,Google Ads,Kimathi Street 616 | Unit A-414 | Mombasa | ZIP:80100 | kenya
ORD-103526,CUST-2462,James Garcia,james.garcia578@example.com,+254739278535,nairobi,59,24-May-2024,29-May-2024,Home/Kitchen,Home Item 47,2,14065.43,20,KES,22504.69,cash,CANCELLED,N/A,Organic,1847 Uhuru Highway Floor B-528 Nairobi 00505 KE
ORD-103738,CUST-1775, Priya Mensah ,priya.mensah638@example.com,+254750572485,Mombasa,59,04-30-2023,05-09-2023,Sport,Sports Item 74,2,7669.68,15,EUR,13038.46,Credit card,Pending,N/A,Unknown, ; 4699-River Road; Mombasa; Nairobi; postal code 80101; K.E. 
ORD-102093,CUST-3249,Victor Okafor,victor.okafor59@example.com,+254720656689, Thika,36,20/10/2023,19/10/2023,Home & Kitchen,Home Item 20,2,3882.87,20,KES,6212.59,Debit Card,Returned,3,Referral,Thika - 1555 Koinange Street - Floor A-800 - 01000 - kenya
ORD-104350,CUST-3433,DIANA PATEL,diana.patel541@example.com,+254767892966,Nairobi,49,2024-05-30,2024-06-08,Clothing,Fashion Item 82,7,8880.53,30,KES,43514.6,M-Pesa,Return,2,,"3590 NGONG ROAD, NAIROBI, KENYA, 00100"
ORD-104772,CUST-3113,tariq khan,tariq.khan836@example.com,,Thika,27,08-13-2023,08-31-2023,Grocery,Groceries Item 15,6,4159.18,30,USD,17468.56,Bank,CANCELLED,1,,Kimathi Street 3919 | House C-688 | Thika | ZIP:01000 | Kenya
ORD-102007,CUST-2865,Fatima Mwangi,fatima.mwangi822@example.com,+254799817097,nakuru,50,29-Dec-2024,01-Jan-2025,Beauty,Beauty Item 21,3,14561.22,15,EUR,37131.11,Bank,Pending,1,,"2050, Tom Mboya Street, Nakuru County, P.O Box 20117, K.E."
ORD-103080,CUST-2234,Uma Ndlovu,uma.ndlovu856@example.com,+254724162394,NKR,49,05-07-2024,05-20-2024,Sport,Sports Item 70,4,14789.6,20,USD,47326.72,M-PESA,cancelled,,Facebook,"48 Langata Road, Nakuru, K.E., 20100"
ORD-101852,CUST-2453,RUTH NJOROGE,ruth.njoroge53@example.com,0715242939,Thika,19,07-Mar-2025,09-Mar-2025,Fashn,Fashion Item 87,8,14054.17,20,KES,89946.69,CASH,Delivered,,,"7003 Argwings Kodhek Rd, Thika, kenya, "
ORD-102610,CUST-1862,Yara Mwangi,yara.mwangi623@example.com,+254788191310,machakos,71,09-21-2024,10-09-2024,HOME,Home Item 41,1,3752.09,30,USD,2626.46,Cash,Cancelled,1,Organic,"9908 Kenyatta Road, Flr A-915, Machakos, Nairobi, 90119, Kenya"
ORD-100186,CUST-3084,Moses Garcia,moses.garcia64@example.com,+254794045156,Nairobii,55,09-27-2024,09-30-2024,groceries,Groceries Item 52,2,11207.11,15,USD,19052.09,Cash,Delivered,5,Instagram,5404 Uhuru Highway Flr D-980 Nairobi 00100 Kenya
ORD-100528,CUST-3322,Lina Ndlovu,lina.ndlovu772@example.com,, Eldoret,55,14/02/2024,27/02/2024,Grocery,Groceries Item 35,3,2359.7,10,EUR,6371.19,BANK TRANSFER,In Transit,5,Email,Apt D-215; 2168-Mbagathi Way; Eldoret; Mombasa; postal code 30100; kenya
ORD-101696,CUST-1767,Yara Lopez,yara.lopez191@example.com,+254769042210,Dar es Salaam,30,09-12-2023,09-14-2023,Fashion,Fashion Item 36,3,15745.92,10,USD,42513.98,mobile money,shipped,2,Email,"2000 Argwings Kodhek Rd, House C-583, Dar es Salaam, Nairobi, 11101, K.E."
ORD-104092,CUST-2949,Fatima Khan,fatima.khan419@example.com,+254772650257,kampala,130,2023-11-24,2023-11-29,sports,Sports Item 9,4,16458.87,5,KES,62543.71,Debit Card,Return,,,Mbagathi Way 737 | Apartment B-175 | Kampala | ZIP:10200 | KE
ORD-101881,CUST-3330,Samuel Garcia,samuel.garcia861@example.com,+254714581536,Machakos,48,07-Apr-2025,,books,Books Item 48,8,12513.63,20,EUR,80087.23,Mpesa,Return,N/A,Instagram,"1223, Kimathi Street, Machakos County, P.O Box 90119, Kenya"
ORD-101965,CUST-2755,Amina Lopez,amina.lopez507@example.com,+254789683277,Eld,69,07/06/2023,22/06/2023,Fashn,Fashion Item 119,4,6481.16,15,USD,22035.94,Card,Complete,,Unknown,Haile Selassie Ave 6297 | Suite D-998 | Eldoret | ZIP: | Kenya
ORD-104504,CUST-3194,Grace Khan,,+254735267323,Eldoret,29,02-Mar-2025,03-Mar-2025,Home/Kitchen,Home Item 89,5,12461.76,0,KES,62308.8,BANK TRANSFER,Delivered,2,Google Ads,eldoret - 4648 mbagathi way - suite a-876 - 30100 - kenya
ORD-104392,CUST-1330,Brian Smith,brian.smith567@example.com,+254718859170,thika,5,22-Dec-2023,28-Dec-2023,Sport,Sports Item 76,5,16499.48,5,EUR,78372.53,bank transfer,returned,1,Google Ads,4657 Tom Mboya Street Floor B-174 Thika 01002 Kenya
ORD-104708,CUST-2629,Chen Njoroge,chen.njoroge488@example.com,+254731474268,KSM,38,05-28-2024,06-01-2024,Home & Kitchen,Home Item 72,2,15752.57,10,USD,28354.63,Bank Transfer,Pending,2,Organic,6287 River Road Apartment D-956 Kisumu 40100 kenya
ORD-101098,CUST-3038,Ezekiel Okafor,ezekiel.okafor751@example.com,+254744479846,Eld,,02-08-2024,02-21-2024,books,Books Item 106,1,2888.52,25,EUR,2166.39,CASH,CANCELLED,2,,Kimathi Street 2892 | Apartment A-708 | Eldoret | ZIP:30100 | K.E.
ORD-103741,CUST-1951,Ivy Kamau,ivy.kamau409@example.com,+254729019946, Thika,66,12/08/2023,17/08/2023,Beauti,Beauty Item 30,7,8018.85,0,EUR,56131.95,Bank Transfer,returned,N/A,Instagram,"8334 Langata Road, Thika, kenya, 01000"
ORD-101010,CUST-1622,Yara Ndlovu,yara.ndlovu418@example.com,+254711282150,nakuru,18,10-19-2024,10-31-2024,Home & Kitchen,Home Item 99,2,267.91,10,USD,482.24,BANK TRANSFER,Returned,N/A,Google Ads,House D-714; 775-Langata Road; Nakuru; Nairobi; postal code 20117; kenya
ORD-104490,CUST-2344,James Hussein,james.hussein254@example.com,+254714383842,KSM,74,23-Oct-2024,10-Nov-2024,sports,Sports Item 75,4,992.38,20,EUR,3175.62,Cash,Return,,Email,"9210 Ngong Road, Kisumu, kenya, 40100"
ORD-103985,CUST-1510,Ruth Kamau,ruth.kamau167@example.com,+254760614790, Eldoret,,07-23-2024,08-03-2024,Groceries,Groceries Item 63,5,13801.42,0,USD,69007.1,M-Pesa,Complete,4,Instagram,5841 Tom Mboya Street Flr A-355 Eldoret 30100 Kenya
ORD-100326,CUST-2221,Kofi Patel,kofi.patel542@example.com,0745702898,nakuru,36,18/11/2023,05/12/2023,Home & Kitchen,Home Item 61,4,252850.2,10,USD,910260.72,CARD,delivered,5,Google Ads,"3751 Haile Selassie Ave, House D-120, Nakuru, Nakuru, 20100, K.E."
ORD-102234,CUST-1628,Tariq Smith,tariq.smith187@example.com,+254759244487,Kisumu ,70,2023-10-21,2023-11-01,Book,Books Item 16,5,16144.97,5,KES,76688.61,mobile money,shipped,N/A,Instagram,7349 Enterprise Road House D-732 Kisumu 40123 Kenya
ORD-102014,CUST-2058,Diana Khan,diana.khan524example.com,+254714307042,Dar es Salaam,59,2024-07-03,2024-07-21,home and kitchen,Home Item 2,7,3688.13,0,EUR,25816.91,Debit Card,returned,4,Unknown,Block D-513; 1984-Moi Avenue; Dar es Salaam; Kisumu; postal code 11101; KE
ORD-104933,CUST-1043,Amina Mwangi,amina.mwangi646@example.com,+254770602362,Thika,39,02-12-2023,02-15-2023,Fashion,Fashion Item 41,1,8544.52,0,KES,8544.52,Debit Card,returned,,Facebook,Thika - 2552 Kimathi Street - Floor B-718 - 01000 - K.E.
ORD-100850,CUST-2037,Victor Otieno,victor.otieno531@example.com,254757778960,KSM,47,02/12/2023,16/12/2023,Grocery,Groceries Item 55,3,10382.84,5,KES,29591.09,bank transfer,Pending,,Referral,Kisumu - 4808 Kenyatta Road - House D-101 - 40123 - kenya
ORD-101737,CUST-2671,Uma Garcia,uma.garcia667@example.com,+254787382334,Eldoret,22,09-28-2024,09-29-2024,Grocery,Groceries Item 61,5,2868.27,15,USD,12190.15,cash,CANCELLED,,Referral,"9952, Kimathi Street, Eldoret County, P.O Box 30100, kenya"
ORD-100313,CUST-2166,Ezekiel Mwangi,ezekiel.mwangi945@example.com,+254794045854,NKR,34,12/02/2023,26/02/2023,Books,Books Item 54,7,6944.09,0,USD,48608.63,Bank Transfer,cancelled,2,Unknown,Suite C-426; 9633-River Road; Nakuru; Mombasa; postal code 20100; kenya
ORD-104844,CUST-3372,Diana Brown,diana.brown675@example.com,+254719024877,dar es salaam,50,09-Mar-2024,09-Mar-2024,Books,Books Item 66,6,3188.15,10,USD,17216.01,Mpesa,Delivered,N/A,Referral,Koinange Street 3143 | Block A-186 | Dar es Salaam | ZIP:14110 | KE
ORD-103262,CUST-2743,Amina Smith,amina.smith683@example.com,+254780273891,kisumu,18,30/12/2023,04/01/2024,home and kitchen,Home Item 63,4,5612.69,20,USD,17960.61,CARD,DELIVERED,N/A,Unknown,"832 koinange street, kisumu, k.e., 40100"
ORD-103986,CUST-1648,Kofi Garcia,kofi.garcia732@example.com,+254750497333,Dar es Salaam,50,2023-12-23,2024-01-10,Beauty,Beauty Item 28,2,14514.2,30,USD,20319.88,Credit card,Returned,4,Email,Koinange Street 2617 | Suite B-235 | Dar es Salaam | ZIP:14110 | KE
ORD-104077,CUST-1142,Hassan Otieno,hassan.otieno744@example.com,+254780967618,Dar-es-Salaam,46,2024-01-04,2024-01-07,Home & Kitchen,Home Item 89,4,11064.32,25,KES,33192.96,mobile money,PENDING,3,Referral,2904 Enterprise Road Apt D-737 Dar es Salaam 14110 KE
ORD-102845,CUST-2695,Diana Mwangi,diana.mwangi824@example.com,+254788452907,Dar,55,2023-10-15,2023-10-19,home and kitchen,Home Item 31,8,11842.17,20,EUR,75789.89,card,Delivered,,Instagram,4359 Kimathi Street Suite B-195 Dar es Salaam 11101 kenya
ORD-101631,CUST-2821,Tariq Ndlovu,tariq.ndlovu832@example.com,+254753103092,Dar es Salaam,57,15-May-2024,28-May-2024,Sport,Sports Item 56,5,4167.36,0,USD,20836.8,Mobile Money,DELIVERED,2,Google Ads,Flr C-131; 400-River Road; Dar es Salaam; Nakuru; postal code 14110; K.E.
ORD-103180,CUST-2562,CHEN OTIENO,chen.otieno477@example.com,+254787949474,kampala,25,10-21-2023,10-29-2023,Groceries,Groceries Item 83,7,7112.7,15,EUR,42320.57,mobile money,delivered,,Referral,Tom Mboya Street 9408 | Apartment A-10 | Kampala | ZIP:256 | K.E.
ORD-103890,CUST-2285,Hassan Smith,hassan.smith515@example.com,0734943262,Thika,37,2023-10-15,2023-10-23,groceries,Groceries Item 96,6,6675.22,25,USD,30038.49,Mobile Money,delivered,3,Referral,"8986 Kimathi Street, Thika, K.E., 01002"
ORD-100794,CUST-2322,Chen Mensah,chen.mensah185@example.com,+254787087899,Nairobii,37,29/05/2023,01/06/2023,Home/Kitchen,Home Item 94,6,17437.64,15,KES,88931.96,M-Pesa,Delivered,2,Facebook,"9795 Kimathi Street, Suite C-456, Nairobi, Machakos, 00505, Kenya"
ORD-102591,CUST-2610,Diana Ali,diana.ali595@example.com,,Machakos ,30,2023-03-14,2023-03-22,home and kitchen,Home Item 106,4,2955.11,5,EUR,11229.42,CASH,Shipped,,Facebook,Machakos - 2609 Kimathi Street - Suite B-660 -  - kenya
ORD-104686,CUST-3220,Zane Ali,zane.ali588@example.com,+254743165710,Eld,30,03-28-2025,04-11-2025,Electrnics,Electronics Item 5,3,3821.2,15,USD,9744.06,Bank Transfer,CANCELLED,4,Referral,Kenyatta Road 4951 | Floor B-988 | Eldoret | ZIP:30120 | kenya
ORD-101164,CUST-2908,UMA BROWN,uma.brown371@example.com,+254745128146,nakuru,54,2023-11-25,2023-12-03,Electronics,Electronics Item 92,5,3141.65,5,USD,14922.84,M-Pesa,DELIVERED,1,,6119 River Road Unit B-21 Nakuru 20100 Kenya
ORD-101764,CUST-1636,Wanjiku Mensah,wanjiku.mensah513@example.com,+254717085994,Machakos,25,2023-12-09,2023-12-17,Beauty,Beauty Item 103,8,463.04,15,KES,3148.67,Bank Transfer,returned,1,Instagram,Machakos - 3258 Tom Mboya Street - Unit B-36 - 90100 - K.E.
ORD-102523,CUST-1308,Wanjiku Garcia,wanjiku.garcia218@example.com,+254718940494,thika,36,03-01-2024,03-15-2024,Fashion,Fashion Item 96,2,5287.16,25,USD,7930.74,Debit Card,cancelled,,Google Ads,"5977, Kenyatta Road, Thika County, P.O Box 01000, K.E."
ORD-103839,CUST-1905,Diana Mensah,diana.mensah240@example.com,+254735987221,thika,40,,14-May-2023,Groceries,Groceries Item 12,6,16838.45,10,KES,90927.63,Cash,Complete,,Email,"3210 Argwings Kodhek Rd, Thika, KE, 01002"
ORD-101343,CUST-2696,Kofi Garcia,kofi.garcia489@example.com,+254767157274,machakos,64,02-22-2025,03-04-2025,Electronics,Electronics Item 74,9,5323.51,25,EUR,47911.59,Debit Card,DELIVERED,,Organic, 2593 Ngong Road Block A-662 Machakos 90100 kenya 
ORD-103663,CUST-3382,Fatima Ndlovu,brian.lopez14@example.com,+254751144489, Eldoret,54,25-Jun-2023,13-Jul-2023,sports,Sports Item 33,5,11577.98,20,KES,46311.92,cash,PENDING,4,Organic,"2081 Uhuru Highway, Eldoret, kenya, 30120"
ORD-103512,CUST-1292,Chen Brown,,, Thika,71,2023-09-25,2023-09-28,HOME,Home Item 26,6,6239.95,0,EUR,37439.7,CARD,In Transit,4,Facebook,Block C-346; 4045-Moi Avenue; Thika; Mombasa; postal code 01002; kenya
ORD-103192,CUST-2568,Quinn Ali,quinn.ali422@example.com,+254712401499,Dar-es-Salaam,36,02-14-2025,02-24-2025,Groceries,Groceries Item 101,2,16713.44,30,KES,23398.82,cash,returned,5,Referral, dar es salaam - 2864 haile selassie ave - unit c-549 - 11101 - ke 
ORD-103973,CUST-1997,KOFI BROWN,kofi.brown548@example.com,254795664572,eldoret,43,11-15-2024,11-29-2024,home and kitchen,Home Item 86,7,6520.53,30,KES,31950.6,Cash,shipped,3,Instagram,"1028 River Road, Apartment B-344, Eldoret, Uasin Gishu, 30100, K.E."
ORD-104083,CUST-1985,OMAR NDLOVU,omar.ndlovu996@example.com,+254728624504,machakos,73,20/01/2023,21/01/2023,Beauti,Beauty Item 33,6,6532.94,15,KES,33317.99,Debit Card,shipped,1,,"8156 Enterprise Road, Machakos, kenya, 90100"
ORD-100039,CUST-2072,Yara Ndlovu,yara.ndlovu811@example.com,+254758762794,nairobi,29,11-26-2024,12-10-2024,Grocery,Groceries Item 87,8,867.68,20,KES,5553.15,Bank,Returned,1,Facebook,Unit B-169; 2293-Kimathi Street; Nairobi; Nairobi; postal code 00505; K.E.
ORD-104802,CUST-2622,Tariq Mensah,tariq.mensah895@example.com,+254798850765,Machakos,34,31-Aug-2023,03-Sep-2023,Groceries,Groceries Item 88,4,1844.09,5,EUR,7007.54,BANK TRANSFER,Shipped,3,Email," 1040, Enterprise Road, Machakos County, P.O Box 90119, KE "
ORD-103445,CUST-2182,Nia Khan,,0783255496,Kisumu,21,06-Nov-2024,13-Nov-2024,Books,Books Item 50,8,5268.55,15,USD,35826.14,M-Pesa,shipped,N/A,,"1769 Kenyatta Road, Kisumu, KE, 40100"
ORD-101236,CUST-3332,Grace Mensah,grace.mensah36@example.com,+254786178241,Msa,62,07-06-2023,07-12-2023,Home/Kitchen,Home Item 44,3,8309.75,5,KES,23682.79,Bank Transfer,In Transit,3,Unknown,4256 Kenyatta Road Block A-887 Mombasa 80101 Kenya
ORD-101085,CUST-2323,hassan ndlovu,hassan.ndlovu570@example.com,+254768889362,Nairobi,39,,,groceries,Groceries Item 92,6,8917.88,0,EUR,53507.28,Mobile Money,Complete,N/A,Organic,Flr C-906; 8800-Koinange Street; Nairobi; Nakuru; postal code 00505; KE
ORD-103006,CUST-1694,Grace Hussein,grace.hussein398@example.com,+254796693566,Eld,47,06-May-2024,13-May-2024,Groceries,Groceries Item 17,4,3937.16,5,EUR,14961.21,cash,returned,4,Email,6378 Uhuru Highway Floor C-685 Eldoret 30100 Kenya
ORD-103055,CUST-1472,Quinn Brown,quinn.brown14@example.com,+254755356380,Kisumu ,42,09-22-2023,09-24-2023,Electrnics,Electronics Item 33,5,1264.1,0,EUR,6320.5,CASH,Returned,5,Unknown,"4492 River Road, Unit A-102, Kisumu, Kiambu, 40123, K.E."
ORD-102539,CUST-2440,Ruth Hussein,ruth.hussein995@example.com,+254748725148,KLA,71,03-21-2023,03-31-2023,Electronics,Electronics Item 32,2,16724.17,20,EUR,26758.67,M-Pesa,returned,,Referral,Mbagathi Way 6078 | Apt C-884 | Kampala | ZIP:10200 | K.E.
ORD-102271,CUST-2141,Omar Njoroge,omar.njoroge317@example.com,+254755636717,Dar-es-Salaam,25,16-Feb-2024,02-Mar-2024,Books,Books Item 18,7,388.06,10,USD,2444.78,Cash,Cancelled,4,Email,"3023 Uhuru Highway, Apartment D-366, Dar es Salaam, Machakos, 11101, kenya"
ORD-103486,CUST-2535,Ezekiel Smith,ezekiel.smith300@example.com,+254768350119,Dar,39,2023-10-02,2023-10-05,Sports,Sports Item 45,8,8108.02,25,USD,48648.12,Bank Transfer,delivered,4,Referral,Uhuru Highway 4853 |  | Dar es Salaam | ZIP: | KE
ORD-104439,CUST-3366,Hassan Okafor,hassan.okafor938@example.com,+254733268796,dar es salaam,50,2024-05-28,2024-06-11,ELEC,Electronics Item 30,8,13387.67,25,USD,80326.02,mobile money,Return,N/A,Email," 1053, Kimathi Street, Dar es Salaam County, P.O Box 11101, Kenya "
ORD-101721,CUST-1469,NIA OKAFOR,nia.okafor775@example.com,0752826047,Machakos,66,03-15-2023,03-26-2023,sports,Sports Item 24,7,5410.83,10,KES,34088.23,Debit Card,Shipped,5,Email,Floor B-711; 7851-Langata Road; Machakos; Nakuru; postal code ; Kenya
ORD-100111,CUST-2155,Amina Kamau,amina.kamau562@example.com,+254762982727,Machakos,21,2024-02-27,2024-03-04,Home & Kitchen,Home Item 55,4,9419.83,25,USD,28259.49,M-PESA,Pending,3,Facebook,311 Tom Mboya Street Suite B-205 Machakos  kenya
ORD-104430,CUST-1369,Ivy Lopez,ivy.lopez789@example.com,+254777811915, Nairobi ,31,2023-04-30,2023-05-10,Book,Books Item 31,4,5843.93,0,EUR,23375.72,card,Return,4,Unknown, 1837 Argwings Kodhek Rd Unit D-719 Nairobi 00100 KE 
ORD-104740,CUST-1876,Moses Njoroge,yara.smith699@example.com,+254741970962,Dar-es-Salaam,39,,25-Apr-2025,Sport,Sports Item 45,6,10369.04,20,KES,49771.39,Mpesa,Canceled,2,Email,"9791 argwings kodhek rd, dar es salaam, kenya, 14110"
ORD-102598,CUST-1279,Priya Patel,priya.patel302@example.com,+254761213708,nakuru,30,06-Jun-2023,11-Jun-2023,books,Books Item 59,2,6140.17,5,EUR,11666.32,Debit Card,Pending,3,Google Ads,8699 enterprise road  nakuru 20117 ke
ORD-103244,CUST-2179,Lina Garcia,lina.garcia166@example.com,+254788309129,Nakuru,28,24/03/2025,27/03/2025,Home & Kitchen,Home Item 20,4,7262.15,0,USD,29048.6,cash,pending,,Organic,9416 Haile Selassie Ave Flr D-785 Nakuru 20117 KE
ORD-100383,CUST-1195,Hassan Khan,hassan.khan733@example.com,+254763863225,nairobi,21,22-Nov-2023,26-Nov-2023,Groceries,Groceries Item 87,2,1645.05,30,EUR,2303.07,cash,DELIVERED,3,Organic,87 Mbagathi Way Suite A-228 Nairobi 00505 K.E.
ORD-102279,CUST-1956,Zane Mwangi,zane.mwangi848@example.com,+254765727679,eldoret,50,08-07-2024,08-13-2024,Beauty,Beauty Item 3,7,7800.29,10,USD,49141.83,Cash,pending,3,Email," 1050, Tom Mboya Street, Eldoret County, P.O Box 30120, Kenya "
ORD-100381,CUST-3137,Ruth Mwangi,ruth.mwangi522@example.com,,Dar-es-Salaam,65,2025-04-13,2025-04-23,sports,Sports Item 117,7,1361.24,0,KES,9528.68,Mobile Money,Return,5,Instagram,Flr B-572; 8955-Mbagathi Way; Dar es Salaam; Mombasa; postal code 11101; kenya
ORD-100868,CUST-1856,Kofi Smith,kofi.smith699@example.com,+254739998872, Thika,72,2024-10-17,2024-10-18,Books,Books Item 43,2,3275.72,15,EUR,5568.72,bank transfer,shipped,5,Instagram,"3234 NGONG ROAD, THIKA, K.E., 01002"
ORD-100271,CUST-2742,Yara Ali,yara.ali575@example.com,+254730457708,mombasa,75,2023-08-03,2023-08-08,Grocery,Groceries Item 76,7,6110.34,30,USD,29940.67,Cash,CANCELLED,0,,"5345, Uhuru Highway, Mombasa County, P.O Box 80118, KE"
ORD-101098,CUST-3038,Ezekiel Okafor,ezekiel.okafor751@example.com,+254744479846,Eld,,02-08-2024,02-21-2024,books,Books Item 106,1,2888.52,25,EUR,2166.39,CASH,CANCELLED,2,,"5699, Enterprise Road, Eldoret County, P.O Box 30120, Kenya"
ORD-100316,CUST-2711,RUTH KHAN,ruth.khan488@example.com,+254792684709,KLA,58,02/02/2024,10/02/2024,Home/Kitchen,Home Item 82,8,8754.54,10,KES,63032.69,BANK TRANSFER,Shipped,4,Unknown,"4704 Kenyatta Road, Kampala, KE, 256"
